datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp
2020/09/11 17:00:00,AQUA_M-T,Brasil,TOCANTINS,FORMOSO DO ARAGUAIA,Cerrado,69,0,1,-11.835,-50.655,29.8
2020/09/11 17:00:00,AQUA_M-T,Brasil,TOCANTINS,CENTENARIO,Cerrado,101,0,1,-9.044,-47.287,53.3
2020/09/11 17:00:00,AQUA_M-T,Brasil,MARANHAO,BALSAS,Cerrado,105,0,1,-9.144,-46.668,106.9
2020/09/11 17:00:00,AQUA_M-T,Brasil,MARANHAO,ALTO PARNAIBA,Cerrado,106,0,1,-9.146,-46.538,27.3
2020/09/11 17:00:00,AQUA_M-T,Brasil,MARANHAO,ALTO PARNAIBA,Cerrado,38,0,1,-9.147,-45.94,78
2020/09/11 17:00:00,AQUA_M-T,Brasil,MATO GROSSO,GAUCHA DO NORTE,Amazonia,109,0,1,-12.074,-53.51,25.4
2020/09/11 17:00:00,AQUA_M-T,Brasil,MARANHAO,ALTO PARNAIBA,Cerrado,40,0,1,-9.154,-45.933,32.4
2020/09/11 17:00:00,AQUA_M-T,Brasil,MARANHAO,ALTO PARNAIBA,Cerrado,41,0,1,-9.156,-45.948,13.4
2020/09/11 17:00:00,AQUA_M-T,Brasil,MATO GROSSO,GAUCHA DO NORTE,Amazonia,109,0,1,-12.081,-53.486,71.5
2020/09/11 17:00:00,AQUA_M-T,Brasil,MATO GROSSO,GAUCHA DO NORTE,Amazonia,109,0,1,-12.088,-53.468,60.9
2020/09/11 17:00:00,AQUA_M-T,Brasil,MATO GROSSO,GAUCHA DO NORTE,Amazonia,109,0,1,-12.09,-53.473,73
2020/09/11 17:00:00,AQUA_M-T,Brasil,MATO GROSSO,GAUCHA DO NORTE,Amazonia,109,0,1,-12.09,-53.479,63
2020/09/11 17:00:00,AQUA_M-T,Brasil,PARANA,CAMPO LARGO,Mata Atlantica,10,1.5,0.1,-25.135,-49.702,7.8
2020/09/11 17:00:00,AQUA_M-T,Brasil,PARANA,BOCAIUVA DO SUL,Mata Atlantica,20,0.5,0.1,-25.136,-49.013,18.8
2020/09/11 17:00:00,AQUA_M-T,Brasil,TOCANTINS,LIZARDA,Cerrado,106,0,1,-9.535,-47.028,108.7
2020/09/11 17:00:00,AQUA_M-T,Brasil,TOCANTINS,LIZARDA,Cerrado,106,0,1,-9.537,-47.041,191.2
2020/09/11 17:00:00,AQUA_M-T,Brasil,MATO GROSSO,MARCELANDIA,Amazonia,113,0,1,-10.681,-53.906,30.4
2020/09/11 17:00:00,AQUA_M-T,Brasil,TOCANTINS,LIZARDA,Cerrado,106,0,1,-9.563,-46.998,50.1
2020/09/11 17:00:00,AQUA_M-T,Brasil,TOCANTINS,LIZARDA,Cerrado,106,0,1,-9.565,-47.011,61.1
2020/09/11 17:00:00,AQUA_M-T,Brasil,TOCANTINS,TOCANTINIA,Cerrado,105,0,1,-9.565,-48.024,12.6
2020/09/11 17:00:00,AQUA_M-T,Brasil,MATO GROSSO,SAO JOSE DO XINGU,Amazonia,110,0.2,1,-10.718,-53.057,32.6
2020/09/11 17:00:00,AQUA_M-T,Brasil,MATO GROSSO,PEIXOTO DE AZEVEDO,Amazonia,110,0.2,1,-10.748,-53.128,24.4
2020/09/11 17:00:00,AQUA_M-T,Brasil,MINAS GERAIS,SAO JOAO DO PARAISO,Mata Atlantica,88,0,1,-15.514,-41.907,225.5
2020/09/11 17:00:00,AQUA_M-T,Brasil,MATO GROSSO,CLAUDIA,Amazonia,117,0,1,-11.349,-55.296,23.2
2020/09/11 17:00:00,AQUA_M-T,Brasil,SAO PAULO,FERNANDOPOLIS,Mata Atlantica,20,0,1,-20.194,-50.269,132.9
2020/09/11 17:00:00,AQUA_M-T,Brasil,SAO PAULO,FERNANDOPOLIS,Mata Atlantica,20,0,1,-20.202,-50.258,58.7
2020/09/11 17:00:00,AQUA_M-T,Brasil,SAO PAULO,FERNANDOPOLIS,Mata Atlantica,20,0,1,-20.203,-50.268,38.9
2020/09/11 17:00:00,AQUA_M-T,Brasil,MATO GROSSO,POCONE,Pantanal,75,0,1,-16.493,-56.619,84.7
2020/09/11 17:00:00,AQUA_M-T,Brasil,SAO PAULO,FERNANDOPOLIS,Mata Atlantica,21,0,1,-20.303,-50.331,8.6
2020/09/11 17:00:00,AQUA_M-T,Brasil,SAO PAULO,NHANDEARA,Mata Atlantica,21,0,1,-20.7,-50.058,26.9
2020/09/11 17:00:00,AQUA_M-T,Brasil,MATO GROSSO,SANTO ANTONIO DO LEVERGER,Pantanal,98,0,1,-16.497,-55.112,33.2
2020/09/11 17:00:00,AQUA_M-T,Brasil,SAO PAULO,NHANDEARA,Mata Atlantica,21,0,1,-20.701,-50.068,15.3
2020/09/11 17:00:00,AQUA_M-T,Brasil,SAO PAULO,NHANDEARA,Mata Atlantica,21,0,1,-20.709,-50.057,131.5
2020/09/11 17:00:00,AQUA_M-T,Brasil,MATO GROSSO,SANTO ANTONIO DO LEVERGER,Pantanal,98,0,1,-16.499,-55.129,417.2
2020/09/11 17:00:00,AQUA_M-T,Brasil,MATO GROSSO,POCONE,Pantanal,72,0,1,-16.5,-56.614,84.8
2020/09/11 17:00:00,AQUA_M-T,Brasil,MATO GROSSO,SANTO ANTONIO DO LEVERGER,Pantanal,98,0,1,-16.501,-55.107,26
2020/09/11 17:00:00,AQUA_M-T,Brasil,MATO GROSSO,SANTO ANTONIO DO LEVERGER,Pantanal,98,0,1,-16.501,-55.146,570.4
2020/09/11 17:00:00,AQUA_M-T,Brasil,SAO PAULO,NHANDEARA,Mata Atlantica,21,0,1,-20.71,-50.067,54.8
2020/09/11 17:00:00,AQUA_M-T,Brasil,SAO PAULO,NHANDEARA,Mata Atlantica,21,0,1,-20.715,-50.049,13.1
